pair_id,source_title,cor_section,answer,question,local_or_sum,attribute1,attribute2,ex_or_im
7054ee23a8e6550b,a-french-puck,5,"The wedding garments fell to the ground, to the great confusion of the wearer.",What happened after the bride entered the church and a loud noise was heard?,local,outcome resolution,,explicit
58d2d97ae495597c,a-french-puck,5,"to examine the dress, determined, if she could, to find out the cause of the disaster",Why did one of the guests stay behind?,local,causal relationship,,explicit
32cc4102bd8f5b54,a-french-puck,5,Her dress fell apart.,Why was the bride so upset?,local,causal relationship,,implicit
5fef8547867857c3,a-french-puck,5,The thread had vanished.,What happened after the guest tried to examine the dress?,local,outcome resolution,,explicit
b7827db35d0158c5,a-legend-of-confucius,1,the Kilin,Who is the strange beast which is the prince of all four-footed animals?,local,character,,explicit
bd119c6d5139559a,a-legend-of-confucius,1,Confucius,"Who studied diligently, learned wisdom and came to be a saint?",local,character,,explicit
c78557b0aa215364,a-legend-of-confucius,1,He did much good on earth.,Why was Confucius's death reverenced as the greatest of teachers and masters?,local,causal relationship,,explicit
e8bde341e1165d4b,a-legend-of-confucius,2,the homeland of Confucius,Where did the wicked Emperor Tsin Schi Huang go to after he had conquered all the other kingdoms?,local,setting,,explicit
8cdd798b423c5127,a-legend-of-confucius,2,wished to have it opened and see what was in it,What did Emperor Tsin Schi Huang wish to do after he found Confucius's grave?,local,action,,explicit
4f3596d4c4b75f76,a-legend-of-confucius,2,Emperor Tsin Schi Huang,"Who had conquered all the other kingdoms, and was traveling through the entire empire?",local,character,,explicit
a874d66345e15402,a-legend-of-confucius,"4, 5",alarmed,How will Emperor Tsin Schi Huang feel after he reads from the tablet?,summary,prediction,feeling,explicit
e2ae6cc6249a5241,a-legend-of-confucius,5,He fell ill of a hasty fever of which he died.,What happened after Emperor Tsin Schi Huang closed the grave?,local,outcome resolution,,explicit
bf2a7a8e69d45f3f,a-legend-of-confucius,5,Schakiu,Where did Emperor Tsin Schi Huang die from a hasty fever?,local,setting,,explicit
fd51a87b485958dd,a-legend-of-confucius,"3, 4","The Emperor, in jest, put on the shoes, took the staff and left the grave.",Why did a tablet suddenly appear in front of Emperor Tsin Schi Huang?,summary,causal relationship,,explicit
cfdc582f63e25308,a-legend-of-confucius,"1, 3, 4",He had a tablet that predicted Emperor Tsin Schi Huang's actions.,How did Confucius give evidence that he had foreknowledge of many things?,summary,action,,implicit
7d9e46dbfe7a5872,a-legend-of-confucius,2,advised him not to do so,What did Emperor Tsin Schi Huang's advisors' do when he wanted to open the grave?,local,action,,explicit
5ff8fb61bf905749,a-legend-of-confucius,3,seated himself on the bed and looked down,What did Emperor Tsin Schi Huang do when he reached the inner chamber?,local,action,,explicit
db546f8bfc925bf4,a-legend-of-confucius,"2, 3",He will steal from Confucius's grave.,What will happen after Emperor Tsin Schi Huang enters the grave?,summary,prediction,outcome resolution,implicit
e0d466a1c21551d1,a-legend-of-confucius,1,sought the child and spat out a jade,What did the Kilin do when there was a great man on earth?,local,action,,explicit
4e03956b39e95417,a-legend-of-knockmany,1,to make a bridge,Why were Finn and his gigantic relatives at the Giant's Causeway?,local,causal relationship,,explicit
d001bb89da8d5c5b,a-legend-of-knockmany,1,the Giant's Causeway,Where did Finn work?,local,setting,,explicit
5e8ad12ac9895e10,a-legend-of-knockmany,1,He made a walking-stick of it and set out on his way to Oonagh.,What happened after Finn lopped off the roots and branches of a fir-tree?,local,outcome resolution,,explicit
06a44e919af6509c,a-legend-of-knockmany,1,on Knockmany Hill,Where did Finn live?,local,setting,,explicit
12e9f90e731e55c4,a-legend-of-knockmany,1,Oonagh,Who was Finn's wife?,local,character,,explicit
eabc5991fd705e7a,a-legend-of-knockmany,1,No other giant could stand before him.,Why was Far Rua well-known?,local,causal relationship,,explicit
1db6688ea8c3515e,a-legend-of-knockmany,2,kept dodging about from place to place,What did Finn do to avoid Far Rua?,local,action,,explicit
df97d041867558a9,a-legend-of-knockmany,2,to have a trial of strength with Finn,Why was Far Rua coming to Causeway?,local,causal relationship,,explicit
ac5f28cef6b05d99,a-legend-of-knockmany,2,lonely,How did Finn's wife feel being alone?,local,feeling,,explicit
fa7f5c3da9155913,a-legend-of-knockmany,3,to show Oonagh how much he was delighted that she made herself happy in his absence,Why did Finn give a short good-humored cough and laugh heartily?,local,causal relationship,,explicit
e6ff6073cb565869,a-legend-of-knockmany,"1,3",a thunderbolt,What did Far Rua always carry with him?,summary,action,,explicit
b0a5c5d5b9165f94,a-legend-of-knockmany,3,clapped his thumb in his mouth,What did Finn always do to prophesize or know anything?,local,action,,explicit
a7592f8708d25278,a-legend-of-knockmany,3,Dungannon,Where did Finn prophesize Far Rua was at?,local,setting,,explicit
25e3efeccfdb580d,a-legend-of-knockmany,3,Far Rua,Who had been troubling Finn?,local,character,,explicit
222336735840558a,a-legend-of-knockmany,4,He knew that Oonagh was hand-and-glove with the fairies.,Why did Finn's heart quiet?,local,causal relationship,,explicit
50dcd8396ed55cac,a-legend-of-knockmany,4,Granua,Who was Oonagh's sister?,local,character,,explicit
0e558e27390d52cc,a-legend-of-knockmany,4,on the very top of Cullamore,Where did Granua live?,local,setting,,explicit
4074effae81b5f8c,a-legend-of-knockmany,4,held many agreeable conversation across the valley,What did Oonagh and Granua do on summer evenings?,local,action,,explicit
fe0dee49b7de56fe,a-legend-of-knockmany,4,picking bilberries at Althadhawn,What was Granua doing when Oonagh spoke to her?,local,action,,explicit
e6835bbc83a05ca4,a-legend-of-knockmany,4,the biggest giant that ever was known coming up from Dungannon,What did Granua see when she looked about?,local,action,,explicit
2e0d77f319465c0c,a-legend-of-knockmany,5,to give Oonagh and Finn time to think of some plan to get themselves out of the scrape,Why did Granua say she would tell Far Rua to refresh himself at Cullamore?,local,causal relationship,,explicit
ead283c89d455c9e,a-legend-of-knockmany,5,"fifteen or sixteen tubs, or the largest miscaun",What did Granua want from Oonagh?,local,action,,explicit
235a4dcc801657c0,a-legend-of-knockmany,5,"The miscaun fell about half-way between the two hills at the edge of the Broad Bog, near Augher.",What happened after Oonagh threw the miscaun?,local,outcome resolution,,explicit
451116bcf3c752aa,a-legend-of-knockmany,5,say the charm that was to send it up,What did Oonagh forget to do before throwing the miscaun?,local,action,,explicit
6b0d3e7c7c2e5943,a-legend-of-knockmany,6,a grey stone,What did the miscaun turn into?,local,action,,explicit
8d4a8367161d5ff6,a-legend-of-knockmany,6,"She will give FInn a cast of heather broth, or a panada of oak bark.",What will Granua do if all else fails?,local,action,prediction,explicit
a3127547fd335744,a-legend-of-knockmany,7,melancholy,How did Finn feel in the meantime?,local,feeling,,explicit
3fc091634aff527d,a-legend-of-knockmany,8,drew the nine woollen threads of different colors,How did Oonagh find out the best way of succeeding in anything?,local,action,,explicit
55adac0c8f185733,a-legend-of-knockmany,8,kneaded into the hearts of one-and-twenty cakes of bread,What did Oonagh do with the iron griddles?,local,action,,explicit
3227942da8c85dd2,a-legend-of-knockmany,8,Oonagh sent round to the neighbors and borrowed one-and-twenty iron griddles.,What happened after Oonagh prepared the threads?,local,outcome resolution,,explicit
a8fd1287de605412,a-legend-of-knockmany,8,He will be no more than a common man.,What will happen if Finn lost the middle finger on his right hand?,local,outcome resolution,prediction,explicit
f0325294923359e8,a-legend-of-knockmany,9,lie down in the cradle and cover himself up with the clothes,What did Oonagh desire Finn to do?,local,action,,explicit
4240c5753e085257,a-legend-of-knockmany,9,Finn M'Coul,Who was named the strongest and bravest man in Ireland?,local,character,,explicit
22a1262e670856b3,a-legend-of-knockmany,9,He set out there to try if he could catch Far Rua.,Why was Finn not at home?,local,causal relationship,,explicit
ecdacdd222c95bdb,a-legend-of-knockmany,10,"went outside, and getting his arms about the house, completely turned it as Oonagh had wished",What did Far Rua do after he pulled the middle finger and cracked it three times?,local,action,,explicit
11bff3099bae5e39,a-legend-of-knockmany,"10,11","stooped down, tore a cleft about four hundred feet deep and a quarter of a mile in length",What did Far Rua do after he cracked his right middle finger?,summary,action,,explicit
6fc60c91d2c05717,a-legend-of-knockmany,10,her woman's wit,What did Oonagh depend on?,local,action,,explicit
d2812fc207905c65,a-legend-of-knockmany,10,He left the place in such a fury that he never thought of it.,Why didn't Finn pull the well asunder?,local,causal relationship,,explicit
b9b73009a00150d9,a-legend-of-knockmany,11,"If she didn't do it, Finn would not be pleased with her.",Why did Oonagh treat Far Rua kindly in her house?,local,causal relationship,,explicit
c57f3520fa36552f,a-legend-of-knockmany,11,stunned,How did Oonagh and Finn feel when they heard a noise that resembled something between a growl and a yell?,local,feeling,,explicit
e489150346e45bf8,a-legend-of-knockmany,11,Two of Far Rua's teeth were out.,What happened after Far Rua bit into one of the cakes?,local,outcome resolution,,explicit
3c71b4e7698c5d15,a-legend-of-knockmany,12,Finn,Who could eat Finn's bread?,local,character,,explicit
ea1fa612663559b2,a-legend-of-knockmany,12,gave a skirl,What did Finn do that frightened the giant?,local,action,,explicit
13196b7659195f17,a-legend-of-knockmany,12,a cake that had no griddle in it,What did Oonagh give Finn when he was in the cradle?,local,action,,explicit
455d562955ba5ddc,a-legend-of-knockmany,12,"He'd have no chance with a man who could eat such bread as that, which even his son that's in the cradle can munch before his eyes.",Why did Far Rua thank his stars that he missed meeting Finn?,local,causal relationship,,explicit
8136fcc64f0c52d6,a-legend-of-knockmany,13,He got black in the face with the efforts.,What happened after Far Rua squeezed the stone?,local,outcome resolution,,explicit
01c979e78a9e52ea,a-legend-of-knockmany,13,"Finn took the stone, slyly exchanged it for the curds, and squeezed until the whey oozed out.",How did Finn trick the giant into thinking he squeezed water out of the stone?,local,action,,explicit
e3d65906f9a059ce,a-legend-of-knockmany,14,"He never wished to hear of, much less to see, her husband.",What did Far Rua assure Oonagh?,local,action,,explicit
d08a327ac26751d1,a-legend-of-knockmany,14,delight,How did Finn feel about Far Rua about to departure?,local,feeling,,explicit
aed6f179b37b5ea0,a-legend-of-knockmany,14,Far Rua was about to take his departure without discovering the tricks that been played off on him.,Why was Finn delighted?,local,causal relationship,,explicit
9994f135935657fd,a-legend-of-knockmany,14,what kind of teeth could eat griddle-cakes like that,What did Far Rua ask before he left?,local,action,,explicit
18cd40ab70515570,a-legend-of-knockmany,14,surprised,How did Far Rua feel finding the powerful grinders in the child?,local,feeling,,explicit
f6bf5b7fb0bf5c21,a-legend-of-knockmany,14,Far Rua gave one loud groan and fell down at once with terror and weakness.,What happened after Far Rua laid a finger where Finn's strength depended?,local,outcome resolution,,explicit
f4797e8aba1952eb,a-legend-of-knockmany,14,He now knew that his most powerful and bitterest enemy was completely at his mercy.,Why did Finn want Far Rua to lay a finger where his strength depended?,local,causal relationship,,explicit
a0cc6d8ed5f45fd4,a-legend-of-knockmany,"1,2",He wanted to give Finn a considerable beating.,Why did Far Rua swear he would never rest?,summary,causal relationship,,implicit
9886812807e8524d,a-legend-of-knockmany,2,He did not want to be beaten by Far Rua.,Why did Finn have a strong disinclination to meet Far Rua?,local,causal relationship,,implicit
80a330319d9b5abe,a-legend-of-knockmany,2,happy,How will Oonagh feel when Finn comes home?,local,feeling,prediction,implicit
cac545c52fee5cd4,a-legend-of-knockmany,3,His thumb told him so.,Why did Finn say he would sooner or later meet Far Rua?,local,causal relationship,,implicit
fb4d9eb574e95a56,a-legend-of-knockmany,4,terrified,How will Granua feel when she sees Far Rua?,local,feeling,prediction,implicit
a6c1d98fc8bc5348,a-legend-of-knockmany,"5,6",disappointed,How will Granua feel when she does not receive the miscaun?,summary,feeling,prediction,implicit
add2307f639e5902,a-legend-of-knockmany,6,He heard three whistles.,How did Far Rua know he was invited to the top of Cullamore?,local,action,,implicit
6a0c1d8344ec57c1,a-legend-of-knockmany,7,Far Rua was going to defeat him.,Why was Finn very melancholy?,local,causal relationship,,implicit
ac6dbf949c1f5060,a-legend-of-knockmany,"4,8",She had got him out of many troubles.,Why did Finn have great confidence in his wife?,summary,causal relationship,,implicit
b69f7a1181395eb1,a-legend-of-knockmany,9,His wife told him to.,Why did Finn lie in the cradle?,local,causal relationship,,implicit
47fe83d2371d532b,a-legend-of-knockmany,9,ridiculous,How will Finn feel pretending to be a child in a cradle?,local,feeling,prediction,implicit
d219f1b3f3215a49,a-legend-of-knockmany,10,Finn was always hiding.,Why did Far Rua never see Finn?,local,causal relationship,,implicit
7d4af74df2c85d36,a-legend-of-knockmany,10,to distract Far Rua,Why did Oonagh bring Far Rua to the well?,local,causal relationship,,implicit
dc762bf7d8fe519d,a-legend-of-knockmany,"11,12",Far Rua's teeth will fall out.,What will happen when Far Rua bites into another cake?,summary,outcome resolution,prediction,implicit
dabc0063d0ac53d6,a-legend-of-knockmany,12,to know what Finn's child looked like,Why did Far Rua want to see the child in the cradle?,local,causal relationship,,implicit
60e66bfdd780528d,a-legend-of-knockmany,13,shocked,How will Far Rua feel when the baby squeezes water out of the stone?,local,feeling,prediction,implicit
7b98c00f3d7553a2,a-legend-of-knockmany,"11,12,13,14",Finn will be much stronger than Far Rua.,Why will Far Rua avoid Finn in the future?,summary,causal relationship,prediction,implicit
8af0c7003187591a,a-lost-paradise,1,a charcoal-burner and his wife,Who were both young and handsome and strong?,local,character,,explicit
c8d97006fe2e51cd,a-lost-paradise,1,"Bad times came, and they grew poorer and poorer, and the nights in which they went hungry to bed became more and more frequent.",What happened after the charcoal-burner and his wife got married?,local,outcome resolution,,explicit
6719adeb43e95e10,a-lost-paradise,1,thought that perhaps he might be able to give some help,Why did the king stop to listen after he heard a sound of sobbing?,local,causal relationship,,explicit
9c6f2eb285245af5,a-lost-paradise,1,They could not find work.,Why was the couple unhappy?,local,causal relationship,,implicit
80d7f7de39575862,a-lost-paradise,1,They wanted plenty of food to eat.,Why did the couple want to find a job?,local,causal relationship,,implicit
e27849841e6654a7,a-lost-paradise,2,The king wanted to enter her home.,Why was the woman surprised?,local,causal relationship,,implicit
00a2d8a90317563b,a-lost-paradise,2,"There was no furniture in the room at all, not even a chair.",What did the king notice after he entered the house?,local,action,,explicit
33fc122ffa8651f0,a-lost-paradise,2,He did not want to make the couple feel ashamed for having an empty house.,Why did the king pretend to be in too great of a hurry?,local,causal relationship,,implicit
f7ca23b150b553ea,a-lost-paradise,2,his palace,Where did the king tell the couple to go with him?,local,setting,,explicit
081cd4ad1a8850f2,a-lost-paradise,2,obey his orders exactly,What did the couple need to do for the king to be happy?,local,action,,explicit
a6664fde853e5d38,a-lost-paradise,3,grateful,How did the couple feel after the king offered to help them?,local,feeling,,implicit
b2435d61f5185ad7,a-lost-paradise,3,"Lock their door, and put the key in their pocket.",What did the king tell the couple to do?,local,action,,explicit
43560e227a3b5530,a-lost-paradise,3,confused,How did the woman feel after the king told her to lock their door?,local,feeling,,implicit
97ee46d06d3557c5,a-lost-paradise,3,"It was quite, quite certain they would never come back.",Why did the woman think it was needless to lock their door?,local,causal relationship,,explicit
40cfe3385b565149,a-lost-paradise,3,into rooms filled with beautiful things,Where did the servants lead the couple to?,local,setting,,explicit
930677b44f8f5897,a-lost-paradise,4,lift the lid,What did the king order the couple to not do?,local,action,,explicit
4ba93ce105045a5f,a-lost-paradise,4,Their good fortune would come to an end.,What would happen if the couple took off the cover?,local,outcome resolution,prediction,implicit
ba0a19dfb65157e5,a-lost-paradise,4,He needed to tell them to not lift the lid.,Why did the king come to visit the couple in the small hall?,local,causal relationship,,implicit
119e3a6fc88052fd,a-lost-paradise,4,surprised,How did the charcoal-burner feel after the king said they may do as they pleased?,local,feeling,,implicit
711c741129a258de,a-lost-paradise,5,the charcoal burner,Who was getting rosier and plumper each day?,local,character,,implicit
e81fb7fe4ec455fe,a-lost-paradise,5,rare flowers and fruits and singing birds,What were the gardens filled with?,local,action,,explicit
ed6955409bdb50a0,a-lost-paradise,5,They got everything they wanted at the palace.,Why did the couple feel like they were living in a beautiful dream?,local,causal relationship,,implicit
23036ae5bfc15b12,a-lost-paradise,"4, 6",The wife will be curious what is inside the soup-tureen.,What will happen after the king warns the couple to not open the lid?,summary,prediction,outcome resolution,implicit
e0485f62954e58f0,a-lost-paradise,"5, 6",She was thinking about what was inside the soup-tureen.,Why was the wife so silent?,summary,causal relationship,,implicit
36237dbb736755ef,a-lost-paradise,6,"The woman spoke less and less, and seemed so wretched that her husband grew quite frightened about her.",What happened after the couple had the conversation about the soup-tureen?,local,outcome resolution,,explicit
c45d00a0d8255ab4,a-lost-paradise,6,She refused to eat.,Why was the husband concerned about his wife?,local,causal relationship,,implicit
eca793d64f555863,a-lost-paradise,6,Just raise one corner so that she may peep.,What did the wife suggest after her husband refused to lift the lid?,local,action,,explicit
567c4ab6f83e5667,a-lost-paradise,7,to his wife contented and happy,Why did the husband take the risk of opening the lid?,local,causal relationship,,explicit
93f36017459859aa,a-lost-paradise,7,"A small mouse had sprung from the inside of the tureen, and had nearly hit her in the eye.",Why did the wife scream after her husband lifted the lid?,local,causal relationship,,explicit
2196f83acfb05ef2,a-lost-paradise,7,"both ran after it, knocking down chairs and vases",What did the couple do after the mouse got out of the soup-tureen?,local,action,,explicit
db3ed49e32015dd6,a-lost-paradise,7,told them to go home,What did the king do after the couple did not listen to him?,local,action,,explicit
11f92990e70753ee,a-lost-paradise,7,startled,How did the wife feel after she saw the mouse?,local,feeling,,implicit
2a798b23cb025329,adventures-of-kintaro-golden-boy,1,married her,What did Kintoki do because he fell in love with a beautiful lady?,local,action,,explicit
dd438eb2945951a3,adventures-of-kintaro-golden-boy,1,Kyoto,Where did Kintoki live?,local,setting,,explicit
0a01473342c65cfa,adventures-of-kintaro-golden-boy,1,the malice of some friends,How did Kintoki fall into disgrace at Court?,local,action,,explicit
71d8cbc1ade25c93,adventures-of-kintaro-golden-boy,1,He died.,What happened because of the misfortune that prayed upon Kintoki's mind?,local,outcome resolution,,explicit
d6febc89bcc25217,adventures-of-kintaro-golden-boy,1,his beautiful young wife,Who did Kintoki leave behind when he died?,local,character,,explicit
e3e935707a235e1c,adventures-of-kintaro-golden-boy,1,She feared her husband's enemy.,Why did Kintoki go to the Ashigara mountains?,local,causal relationship,,explicit
eacb6a85e6b75ba6,adventures-of-kintaro-golden-boy,1,No one would look for her there.,Why did Kintoki choose to live in the Ashigara mountains to hide from her husband's enemies?,local,causal relationship,,implicit
c182f35ca7af56d7,adventures-of-kintaro-golden-boy,1,his great strength,What was remarkable about Kintaro?,local,character,,explicit
90475943c3055fd1,adventures-of-kintaro-golden-boy,1,He grew stronger and stronger.,How was Kintaro able to cut down trees as quickly as the woodcutters?,local,action,,explicit
cce7768f507557a0,adventures-of-kintaro-golden-boy,1,help the woodcutters,What did Kintaro use the large axe for?,local,action,,explicit
ff548499e7ea5b71,adventures-of-kintaro-golden-boy,2,grew up all alone in the mountain wilds,Why was Kintaro unlike the other boys?,local,causal relationship,,explicit
fdfcaa8284ac5886,adventures-of-kintaro-golden-boy,2,He made friends with all the animals.,How did Kintaro learn to understand and speak with animals?,local,action,,explicit
07062b6bbb57520b,adventures-of-kintaro-golden-boy,2,they looked upon Kintaro as their master,Why did the animals act as servants and messengers?,local,causal relationship,,explicit
69df6c3a0ae55a72,adventures-of-kintaro-golden-boy,3,put his arms round the creature's neck,What did Kintaro do to show the deer that its long horns did not frighten him?,local,action,,explicit
7ddef1412d465af9,adventures-of-kintaro-golden-boy,"2,3,4",They were friends.,Why did the animals follow Kintaro into the mountains?,summary,causal relationship,,implicit
5c9cca147ea95f69,adventures-of-kintaro-golden-boy,"4,5",It was wide.,Why was the plain a nice place to have a good romp together?,summary,causal relationship,,implicit
433763c373fc5d76,adventures-of-kintaro-golden-boy,"4,5",satisfied,How did Kintaro and the animals feel about the field?,summary,action,,implicit
9bb50a498e85560b,adventures-of-kintaro-golden-boy,6,a wrestling match,What game did Kintaro suggest?,local,action,,explicit
c9da8c56246e5e32,adventures-of-kintaro-golden-boy,6,dug up the earth and pat it into shape,How did the bear make the platform for the wrestlers?,local,action,,explicit
73316914e40e5f7b,adventures-of-kintaro-golden-boy,6,the bear,Who was the strongest animal?,local,character,,explicit
d11f275fb5255b51,adventures-of-kintaro-golden-boy,7,the deer,Who was the umpire?,local,character,,explicit
0404c0818b7e5bf7,adventures-of-kintaro-golden-boy,7,the monkey and the hare,Who were the first ones to fight?,local,character,,explicit
5e346f1fbef7521d,adventures-of-kintaro-golden-boy,7,a leaf,What did the deer use as a signal?,local,action,,explicit
609396fb4d9b5756,adventures-of-kintaro-golden-boy,8,the hare,Who won the match?,local,character,,explicit
73b56f64fcc151ea,adventures-of-kintaro-golden-boy,8,angry,How will the monkey feel when he loses?,local,prediction,feeling,implicit
f0c3db175eca501c,adventures-of-kintaro-golden-boy,9,a rice-dumpling,What prize did Kintaro give?,local,action,,explicit
8523357c96cf5ab5,adventures-of-kintaro-golden-boy,10,He felt that he had not been fairly beaten.,Why was the monkey cross?,local,causal relationship,,explicit
e63517b8c0a45bce,adventures-of-kintaro-golden-boy,10,His foot slipped and he tumbled.,Why did the monkey think he was not fairly beaten?,local,causal relationship,,explicit
a82a0230d5bb5aea,adventures-of-kintaro-golden-boy,10,cunning,What type of animal was the monkey by nature?,local,character,,explicit
40379aeb037659b2,adventures-of-kintaro-golden-boy,10,get hold of the hare's long ear,How did the monkey plan to beat the hare?,local,action,,explicit
ada046a807755f4e,adventures-of-kintaro-golden-boy,10,the pain of having his long ear pulled so hard,How did the hare get thrown off guard?,local,action,,explicit
727c72c065ea5e7d,adventures-of-kintaro-golden-boy,10,satisfied,How did the monkey feel after winning?,local,feeling,,explicit
3aa12632d698572b,adventures-of-kintaro-golden-boy,10,was now the victor,Why did the monkey forget his sore back?,local,causal relationship,,explicit
c0b6b63e63855837,adventures-of-kintaro-golden-boy,11,They were wrestling for a long time.,Why did the animals stop wrestling?,local,causal relationship,,implicit
606d920e3c8a5d01,adventures-of-kintaro-golden-boy,11,They did not know how to swim.,Why did all the animals wonder how they could cross the stream?,local,causal relationship,,implicit
d340fdf0edfe559f,adventures-of-kintaro-golden-boy,11,Kintaro,Who will figure out how to get across the bridge?,local,character,,explicit
c95f399cb7ba5494,adventures-of-kintaro-golden-boy,12,He took hold of the trunk and pulled it with all his might.,How was Kintaro able to make a bridge?,local,action,,explicit
4d2db53858625f65,adventures-of-kintaro-golden-boy,12,He was very strong.,How was Kintaro able to pull the tree by its trunk?,local,action,,implicit
0959cd7736da5f14,adventures-of-kintaro-golden-boy,12,amazed,How did the animals feel when they saw Kintaro pull out the tree?,local,feeling,,implicit
dfda303670935312,adventures-of-kintaro-golden-boy,13,a woodcutter,Who was overlooking the stream?,local,character,,explicit
63a827c93b1b554c,adventures-of-kintaro-golden-boy,14,He wanted to know who his father was.,Why did the woodcutter follow Kintaro?,local,causal relationship,,implicit
3b378cf11d1755e7,adventures-of-kintaro-golden-boy,"14,15",He was gone for a long time.,Why was Kintaro's mother waiting for him?,summary,causal relationship,,implicit
c7c4db0ec7bc56b5,adventures-of-kintaro-golden-boy,"14,16",the woodcutter,Who will the voice from outside be?,summary,character,prediction,explicit
